service_id,date,exception_type
"MF10-14-200-aus","20250725","2"
"MF10-14-200-aus","20250801","2"
"MF10-14-200-aus","20250808","2"
"MF10-14-200-aus","20250815","2"
"MF10-14-200-aus","20250822","2"
"MF10-14-200-aus","20250829","2"
"MF10-14-200-aus","20250905","2"
"MF10-14-200-aus","20250912","2"
"MF10-14-200-aus","20250919","2"
"MF10-14-200-aus","20250926","2"
"MF10-14-200-aus","20251003","2"
"MF10-14-200-aus","20251010","2"
"MF10-14-207-aus","20250725","2"
"MF10-14-207-aus","20250801","2"
"MF10-14-207-aus","20250808","2"
"MF10-14-207-aus","20250815","2"
"MF10-14-207-aus","20250822","2"
"MF10-14-207-aus","20250829","2"
"MF10-14-207-aus","20250905","2"
"MF10-14-207-aus","20250912","2"
"MF10-14-207-aus","20250919","2"
"MF10-14-207-aus","20250926","2"
"MF10-14-207-aus","20251003","2"
"MF10-14-207-aus","20251010","2"
"MF10-14-270-aus","20250725","2"
"MF10-14-270-aus","20250801","2"
"MF10-14-270-aus","20250808","2"
"MF10-14-270-aus","20250815","2"
"MF10-14-270-aus","20250822","2"
"MF10-14-270-aus","20250829","2"
"MF10-14-270-aus","20250905","2"
"MF10-14-270-aus","20250912","2"
"MF10-14-270-aus","20250919","2"
"MF10-14-270-aus","20250926","2"
"MF10-14-270-aus","20251003","2"
"MF10-14-270-aus","20251010","2"
"MF10-14-271-aus","20250725","2"
"MF10-14-271-aus","20250801","2"
"MF10-14-271-aus","20250808","2"
"MF10-14-271-aus","20250815","2"
"MF10-14-271-aus","20250822","2"
"MF10-14-271-aus","20250829","2"
"MF10-14-271-aus","20250905","2"
"MF10-14-271-aus","20250912","2"
"MF10-14-271-aus","20250919","2"
"MF10-14-271-aus","20250926","2"
"MF10-14-271-aus","20251003","2"
"MF10-14-271-aus","20251010","2"
"MF10-14-273-aus","20250725","2"
"MF10-14-273-aus","20250801","2"
"MF10-14-273-aus","20250808","2"
"MF10-14-273-aus","20250815","2"
"MF10-14-273-aus","20250822","2"
"MF10-14-273-aus","20250829","2"
"MF10-14-273-aus","20250905","2"
"MF10-14-273-aus","20250912","2"
"MF10-14-273-aus","20250919","2"
"MF10-14-273-aus","20250926","2"
"MF10-14-273-aus","20251003","2"
"MF10-14-273-aus","20251010","2"
"MF10-14-279-aus","20250725","2"
"MF10-14-279-aus","20250801","2"
"MF10-14-279-aus","20250808","2"
"MF10-14-279-aus","20250815","2"
"MF10-14-279-aus","20250822","2"
"MF10-14-279-aus","20250829","2"
"MF10-14-279-aus","20250905","2"
"MF10-14-279-aus","20250912","2"
"MF10-14-279-aus","20250919","2"
"MF10-14-279-aus","20250926","2"
"MF10-14-279-aus","20251003","2"
"MF10-14-279-aus","20251010","2"
"MF10-14-280-aus","20250725","2"
"MF10-14-280-aus","20250801","2"
"MF10-14-280-aus","20250808","2"
"MF10-14-280-aus","20250815","2"
"MF10-14-280-aus","20250822","2"
"MF10-14-280-aus","20250829","2"
"MF10-14-280-aus","20250905","2"
"MF10-14-280-aus","20250912","2"
"MF10-14-280-aus","20250919","2"
"MF10-14-280-aus","20250926","2"
"MF10-14-280-aus","20251003","2"
"MF10-14-280-aus","20251010","2"
"MF10-14-281-aus","20250725","2"
"MF10-14-281-aus","20250801","2"
"MF10-14-281-aus","20250808","2"
"MF10-14-281-aus","20250815","2"
"MF10-14-281-aus","20250822","2"
"MF10-14-281-aus","20250829","2"
"MF10-14-281-aus","20250905","2"
"MF10-14-281-aus","20250912","2"
"MF10-14-281-aus","20250919","2"
"MF10-14-281-aus","20250926","2"
"MF10-14-281-aus","20251003","2"
"MF10-14-281-aus","20251010","2"
"MF10-14-282-aus","20250725","2"
"MF10-14-282-aus","20250801","2"
"MF10-14-282-aus","20250808","2"
"MF10-14-282-aus","20250815","2"
"MF10-14-282-aus","20250822","2"
"MF10-14-282-aus","20250829","2"
"MF10-14-282-aus","20250905","2"
"MF10-14-282-aus","20250912","2"
"MF10-14-282-aus","20250919","2"
"MF10-14-282-aus","20250926","2"
"MF10-14-282-aus","20251003","2"
"MF10-14-282-aus","20251010","2"
"MF10-14-284-aus","20250725","2"
"MF10-14-284-aus","20250801","2"
"MF10-14-284-aus","20250808","2"
"MF10-14-284-aus","20250815","2"
"MF10-14-284-aus","20250822","2"
"MF10-14-284-aus","20250829","2"
"MF10-14-284-aus","20250905","2"
"MF10-14-284-aus","20250912","2"
"MF10-14-284-aus","20250919","2"
"MF10-14-284-aus","20250926","2"
"MF10-14-284-aus","20251003","2"
"MF10-14-284-aus","20251010","2"
"MF10-14-285-aus","20250725","2"
"MF10-14-285-aus","20250801","2"
"MF10-14-285-aus","20250808","2"
"MF10-14-285-aus","20250815","2"
"MF10-14-285-aus","20250822","2"
"MF10-14-285-aus","20250829","2"
"MF10-14-285-aus","20250905","2"
"MF10-14-285-aus","20250912","2"
"MF10-14-285-aus","20250919","2"
"MF10-14-285-aus","20250926","2"
"MF10-14-285-aus","20251003","2"
"MF10-14-285-aus","20251010","2"
"MF10-14-293-aus","20250725","2"
"MF10-14-293-aus","20250801","2"
"MF10-14-293-aus","20250808","2"
"MF10-14-293-aus","20250815","2"
"MF10-14-293-aus","20250822","2"
"MF10-14-293-aus","20250829","2"
"MF10-14-293-aus","20250905","2"
"MF10-14-293-aus","20250912","2"
"MF10-14-293-aus","20250919","2"
"MF10-14-293-aus","20250926","2"
"MF10-14-293-aus","20251003","2"
"MF10-14-293-aus","20251010","2"
"MF10-14-295-aus","20250725","2"
"MF10-14-295-aus","20250801","2"
"MF10-14-295-aus","20250808","2"
"MF10-14-295-aus","20250815","2"
"MF10-14-295-aus","20250822","2"
"MF10-14-295-aus","20250829","2"
"MF10-14-295-aus","20250905","2"
"MF10-14-295-aus","20250912","2"
"MF10-14-295-aus","20250919","2"
"MF10-14-295-aus","20250926","2"
"MF10-14-295-aus","20251003","2"
"MF10-14-295-aus","20251010","2"
"MF10-14-302-aus","20250725","2"
"MF10-14-302-aus","20250801","2"
"MF10-14-302-aus","20250808","2"
"MF10-14-302-aus","20250815","2"
"MF10-14-302-aus","20250822","2"
"MF10-14-302-aus","20250829","2"
"MF10-14-302-aus","20250905","2"
"MF10-14-302-aus","20250912","2"
"MF10-14-302-aus","20250919","2"
"MF10-14-302-aus","20250926","2"
"MF10-14-302-aus","20251003","2"
"MF10-14-302-aus","20251010","2"
"MF10-14-303-aus","20250725","2"
"MF10-14-303-aus","20250801","2"
"MF10-14-303-aus","20250808","2"
"MF10-14-303-aus","20250815","2"
"MF10-14-303-aus","20250822","2"
"MF10-14-303-aus","20250829","2"
"MF10-14-303-aus","20250905","2"
"MF10-14-303-aus","20250912","2"
"MF10-14-303-aus","20250919","2"
"MF10-14-303-aus","20250926","2"
"MF10-14-303-aus","20251003","2"
"MF10-14-303-aus","20251010","2"
"MF10-14-304-aus","20250725","2"
"MF10-14-304-aus","20250801","2"
"MF10-14-304-aus","20250808","2"
"MF10-14-304-aus","20250815","2"
"MF10-14-304-aus","20250822","2"
"MF10-14-304-aus","20250829","2"
"MF10-14-304-aus","20250905","2"
"MF10-14-304-aus","20250912","2"
"MF10-14-304-aus","20250919","2"
"MF10-14-304-aus","20250926","2"
"MF10-14-304-aus","20251003","2"
"MF10-14-304-aus","20251010","2"
"MF10-14-305-aus","20250725","2"
"MF10-14-305-aus","20250801","2"
"MF10-14-305-aus","20250808","2"
"MF10-14-305-aus","20250815","2"
"MF10-14-305-aus","20250822","2"
"MF10-14-305-aus","20250829","2"
"MF10-14-305-aus","20250905","2"
"MF10-14-305-aus","20250912","2"
"MF10-14-305-aus","20250919","2"
"MF10-14-305-aus","20250926","2"
"MF10-14-305-aus","20251003","2"
"MF10-14-305-aus","20251010","2"
"MF10-14-309-aus","20250725","2"
"MF10-14-309-aus","20250801","2"
"MF10-14-309-aus","20250808","2"
