trip_id,stop_sequence,route_id,route_short_name,route_long_name,direction_id,service_id,trip_headsign,stop_name,stop_id,stop_lat,stop_lon,departure_time
42-514--1-MF2-101,51,42-514-aus-1,514,Glenroy - Eltham,0,MF2-42-514-aus,Glenroy,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,06:15:00
42-514--1-MF2-102,22,42-514-aus-1,514,Glenroy - Eltham,0,MF2-42-514-aus,Glenroy,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,05:45:00
42-514--1-MF2-11,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,07:14:00
42-514--1-MF2-34,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,07:45:00
42-514--1-MF2-35,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,08:15:00
42-514--1-MF2-36,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,08:45:00
42-514--1-MF2-37,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,09:13:00
42-514--1-MF2-38,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,09:58:00
42-514--1-MF2-39,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,10:38:00
42-514--1-MF2-40,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,11:18:00
42-514--1-MF2-41,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,11:58:00
42-514--1-MF2-42,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,12:38:00
42-514--1-MF2-43,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,13:20:00
42-514--1-MF2-44,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,14:00:00
42-514--1-MF2-45,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,14:40:00
42-514--1-MF2-46,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,15:15:00
42-514--1-MF2-47,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,15:45:00
42-514--1-MF2-48,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,16:45:00
42-514--1-MF2-49,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,17:15:00
42-514--1-MF2-50,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,17:45:00
42-514--1-MF2-51,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,18:15:00
42-514--1-MF2-52,78,42-514-aus-1,514,Glenroy - Eltham,0,MF2-42-514-aus,Glenroy,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,19:07:00
42-514--1-MF2-53,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,18:45:00
42-514--1-MF2-54,78,42-514-aus-1,514,Glenroy - Eltham,0,MF2-42-514-aus,Glenroy,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,19:38:00
42-514--1-MF2-55,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,19:25:00
42-514--1-MF2-56,78,42-514-aus-1,514,Glenroy - Eltham,0,MF2-42-514-aus,Glenroy,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,20:15:00
42-514--1-MF2-57,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,19:45:00
42-514--1-MF2-58,78,42-514-aus-1,514,Glenroy - Eltham,0,MF2-42-514-aus,Glenroy,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,20:55:00
42-514--1-MF2-59,31,42-514-aus-1,514,Glenroy - Eltham,1,MF2-42-514-aus,Eltham,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,20:45:00
42-514--1-MF2-60,78,42-514-aus-1,514,Glenroy - Eltham,0,MF2-42-514-aus,Glenroy,Watsonia Station/Greensborough Hwy,20668,'-37.71090063,145.08414652,21:39:00
