trip_id	stop_sequence	route_id	direction_id	service_id	trip_headsign	stop_name	stop_id	stop_lat	stop_lon	departure_time
14-270--1-MF10-270919	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	6:23:00
14-270--1-MF10-270920	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	6:43:00
14-270--1-MF10-270921	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	7:05:00
14-270--1-MF10-270922	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	7:23:00
14-270--1-MF10-270923	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	7:35:00
14-270--1-MF10-270924	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	7:45:00
14-270--1-MF10-270925	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	7:56:00
14-270--1-MF10-270926	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	8:11:00
14-270--1-MF10-270927	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	8:21:00
14-270--1-MF10-270928	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	8:31:00
14-270--1-MF10-270929	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	8:41:00
14-270--1-MF10-270930	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	8:55:00
14-270--1-MF10-270931	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	9:13:00
14-270--1-MF10-270932	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	9:30:00
14-270--1-MF10-270933	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	9:50:00
14-270--1-MF10-270934	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	10:10:00
14-270--1-MF10-270935	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	10:30:00
14-270--1-MF10-270936	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	10:50:00
14-270--1-MF10-270937	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	11:32:00
14-270--1-MF10-270938	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	12:12:00
14-270--1-MF10-270939	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	12:32:00
14-270--1-MF10-270940	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	12:52:00
14-270--1-MF10-270941	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	13:12:00
14-270--1-MF10-270942	37	14-270-aus-1	1	MF10-14-270-aus	Box Hill	Box Hill Bus Station/Station St	19644	'-37.81992331	145.122479	13:32:00
